created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 31 05:02:08 +0000 2023;1719218171469861074;"Kadiv Humas Polri ke-21 Irjen Pol (Purn) Drs. Sisno Adiwinoto, M.M., mengucapkan selamat Hari Ulang Tahun  ke-72 Humas Polri. Semoga Humas Polri hari ini dan seterusnya dapat memberikan informasi dengan cepat kepada masyarakat serta menjadi cooling system di Pemilu 2024. https://t.co/ImEBOhIh2m";0;0;0;0;in;1160313355954839553;1719218171469861074;humas_timur;https://twitter.com/humas_timur/status/1719218171469861074
Tue Oct 31 05:02:06 +0000 2023;1719218163936796778;"Wapres Ma'ruf Amin berencana mengundang 3 bakal cawapres untuk santap siang bersama dan berdiskusi tentang upaya mencegah timbulnya ketegangan dan konflik pada Pemilu 2024. https://t.co/RNwZNBi1T2";0;0;0;0;in;1666299675329298433;1719218163936796778;erakinimedia;https://twitter.com/erakinimedia/status/1719218163936796778
Tue Oct 31 05:01:34 +0000 2023;1719218029341687927;"informasi kepada masyarakat. Sehingga dapat meminimalisir penyebaran hoaks menjelang dan saat Pemilu 2024.   #HumasPolri72 Melayani Untuk Negeri";0;0;0;0;in;1709588892188569600;1719218026116227562;HumasCisauk;https://twitter.com/HumasCisauk/status/1719218029341687927
Tue Oct 31 05:01:33 +0000 2023;1719218026116227562;"As SDM Kapolri Irjen Pol. Prof. Dr. Dedi Prasetyo, M.Hum., https://t.co/brN91Ph04j., M.M., mengucapkan selamat Hari Jadi ke-72 Humas Polri. Semoga menjelang Pemilu 2024, Humas Polri dapat menjadi cooling system bagi bangsa Indonesia, dapat dengan cepat memberikan dan menyajikan https://t.co/lfyoeN0fqI";0;1;0;0;in;1709588892188569600;1719218026116227562;HumasCisauk;https://twitter.com/HumasCisauk/status/1719218026116227562
Tue Oct 31 05:00:36 +0000 2023;1719217786831183906;"" HINDARI KONFLIK DIANTARA KITA JAGA PERSATUAN DAN KESATUAN " Menuju Pemilu 2024 Aman dan Damai  #HumasPolri72 Melayani Untuk Negeri https://t.co/wRb3FFXSY6";0;0;0;0;in;1595352231376990208;1719217786831183906;polsek_skjd;https://twitter.com/polsek_skjd/status/1719217786831183906
Tue Oct 31 05:00:32 +0000 2023;1719217769391214770;"Bawaslu Depok Kawal Pengawasan 5.570 TPS di Pemilu 2024 https://t.co/bT0nUQ9B0I lewat @Indonesia Daily  #indonesiamaju #indonesiaupdate #indonesiareels #updatedunia #update #indonesiadaily #indonesiamaju #indonesiaupdates #instagram #viral #heboh #trending";0;0;0;0;in;1497362075915816960;1719217769391214770;indo_dailynet;https://twitter.com/indo_dailynet/status/1719217769391214770
Tue Oct 31 05:00:21 +0000 2023;1719217722939335141;"Densus 88 Antiteror Polri menangkap 40 tersangka teroris JAD pendukung ISIS yang berupaya menggagalkan Pemilu 2024 https://t.co/zbnenlYVC9";0;0;0;0;in;944180887171743745;1719217722939335141;inewsdotid;https://twitter.com/inewsdotid/status/1719217722939335141
Tue Oct 31 05:00:14 +0000 2023;1719217694149681657;"Dukung dan Sukseskan Upaya Pemerintah dalam Meningkatkan Partisipasi Pemilu 2024!  #SukseskanPemilu2024 #PemiluTanpaHoaks #PemiluTanpaPolitikIdentitas #PemiluDamai https://t.co/RkWRp6ttg3";0;0;0;0;in;1699123402169270272;1719217694149681657;infosepekan3;https://twitter.com/infosepekan3/status/1719217694149681657
Tue Oct 31 05:00:10 +0000 2023;1719217678853067147;"As SDM Kapolri Irjen Pol. Prof. Dr. Dedi Prasetyo, M.Hum., https://t.co/jxYeGpIrUU., M.M., mengucapkan selamat Hari Jadi ke-72 Humas Polri. Semoga menjelang Pemilu 2024, Humas Polri dapat menjadi cooling system bagi bangsa Indonesia, dapat dengan cepat https://t.co/QqJXKzQCTm";0;0;0;0;in;1701503875625500672;1719217678853067147;humas_restrobks;https://twitter.com/humas_restrobks/status/1719217678853067147
Tue Oct 31 05:00:07 +0000 2023;1719217663829041550;"Densus Tangkap 59 Terduga Teror*s, Diduga Hendak Gagalkan Pemilu 2024 https://t.co/NRqzacxPdd";1;19;0;3;in;3319260420;1719217663829041550;geloraco;https://twitter.com/geloraco/status/1719217663829041550
